0.089047 	 10.230036 	 330364712.096498
0.092997 	 9.753047 	 323551109.408164
0.097823 	 9.222549 	 347181599.444435
0.109163 	 8.160585 	 379532181.164307
0.114604 	 7.725694 	 392461651.079944
0.117929 	 7.479647 	 340445932.510245
0.121669 	 7.218994 	 368938526.337824
0.130285 	 6.675504 	 414260515.424687
0.138917 	 6.198549 	 416141696.487955
0.149174 	 5.703598 	 508610694.486829
0.154251 	 5.482959 	 544441710.919651
0.161145 	 5.205576 	 500862634.134075
0.175543 	 4.696606 	 751180238.058873
0.182049 	 4.493029 	 809241535.934043
0.192102 	 4.205565 	 926649971.118422
0.212372 	 3.708708 	 1099736066.117453
0.222641 	 3.491537 	 1293682622.020120
0.238387 	 3.194853 	 1746211429.037853
0.256016 	 2.905999 	 1966938646.222706
