543
13005915 13 0 57.111111111111114
1001621000009 1621 1 15356.75
1022574000009 22574 1 353527.9
4000003000009 3 4 74.11428571428571
6000277000009 277 6 2333.5142857142855
6000432000009 432 6 3885.5142857142855
7000225000009 225 7 2333.5142857142855
7018676000009 18676 7 46927.171428571426
9000011000009 11 9 126.4
9019510000009 19510 9 74.11428571428571
10000112000648 112 10 9261.125
10002905000009 2905 10 25032.025
11000245000009 245 11 2333.5142857142855
12013922001563 13922 12 265.4
12015495000009 15495 12 15356.75
13000047000009 47 13 126.4
13013230000009 13230 13 469.22857142857146
14012127000009 12127 14 25032.025
14012179000009 12179 14 15356.75
17014127000009 14127 17 126.4
17014818000009 14818 17 9261.125
17021510000009 21510 17 414519.4
18001179000009 1179 18 74.11428571428571
18001214000009 1214 18 469.22857142857146
18001235000009 1235 18 469.22857142857146
18003075000009 3075 18 15356.75
20000007000009 7 20 126.4
20006416000009 6416 20 1611.9666666666667
20006516000009 6516 20 2333.5142857142855
21000067000009 67 21 126.4
22000047000009 47 22 469.22857142857146
22007168000009 7168 22 25032.025
23003340000009 3340 23 74.11428571428571
23003348000009 3348 23 265.4
25006402004134 6402 25 25032.025
29000071000009 71 29 39.666666666666664
30004729000009 4729 30 953.5333333333333
31001812000009 1812 31 46927.171428571426
31008684000009 8684 31 2333.5142857142855
31008788000009 8788 31 3885.5142857142855
32000323000009 323 32 3885.5142857142855
33012732000009 12732 33 469.22857142857146
33013978000009 13978 33 15356.75
34010498000009 10498 34 265.4
34010927000009 10927 34 5624.675
35000371000009 371 35 9261.125
37014525000009 14525 37 126.4
38000066000009 66 38 469.22857142857146
39000066001007 66 39 469.22857142857146
39000174000009 174 39 3885.5142857142855
39009275001004 9275 39 953.5333333333333
41000003000009 3 41 74.11428571428571
42000038000009 38 42 39.666666666666664
42006819000009 6819 42 57.111111111111114
42007234000009 7234 42 3885.5142857142855
42008119000009 8119 42 9261.125
43001294000009 1294 43 265.4
43001303000009 1303 43 469.22857142857146
43001734000009 1734 43 3885.5142857142855
43005118000009 5118 43 25032.025
46002088009308 2088 46 39.666666666666664
