15
0.275000        7367      736.768
     0.325000       22676      2267.65
     0.375000       64081      6408.19
     0.425000      125736      12573.7
     0.475000      161771      16177.2
     0.525000      152663      15266.3
     0.575000      119823      11982.3
     0.625000      101053      10105.3
     0.675000      119352      11935.2
     0.725000      162944      16294.4
     0.775000      152258      15225.9
     0.825000      106762      10676.2
     0.875000       63907      6390.78
     0.925000       33064      3306.50
     0.975000       15508      1550.85

  color histogram for mass bin  -> 9.5-10.0   
