 15
 0.275000       41338      4133.89
     0.325000       89241      8924.16
     0.375000      160993      16099.3
     0.425000      214881      21488.1
     0.475000      219217      21921.8
     0.525000      187187      18718.7
     0.575000      162206      16220.7
     0.625000      172702      17270.3
     0.675000      236026      23602.7
     0.725000      287575      28757.5
     0.775000      170362      17036.3
     0.825000       71900      7190.02
     0.875000       32179      3217.92
     0.925000       15569      1556.99
     0.975000        8535      853.504

     color histogram for mass bin  -> 9.0-9.5    
    
    
