16
-17.3750     1179345      117934.
     -17.8750     1031019      103102.
     -18.3750      889425      88942.5
     -18.8750      776514      77651.4
     -19.3750      707988      70798.8
     -19.8750      648729      64872.9
     -20.3750      537256      53725.6
     -20.8750      382622      38262.2
     -21.3750      214947      21494.7
     -21.8750       94376      9437.60
     -22.3750       33730      3373.00
     -22.8750       10388      1038.80
     -23.3750        2949      294.900
     -23.8750         752      75.2000
     -24.3750         194      19.4000
     -24.8750          20      2.00000
